"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-01","1.5",",,W","0.8",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"8.3",",,W","1.7",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-02","1.8",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"5.6",",,W","-1.6",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-03","2.2",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"6.1",",,W","1.1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-04","3.4",",,W","0.0","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"7.2",",,W","-2.1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-05","3.2",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"2.8",",,W","-3.2",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-06","3.1",",,W","10.4",",,W,2400","5.0",",,W,2400","0.0",",,W,2400",,,"3.3",",,W","-0.5",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-07","3.4",",,W","6.1",",,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"3.3",",,W","1.1",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-08","2.3",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"7.2",",,W","2.2",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-09","2.9",",,W","43.9",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"13.9",",,W","2.2",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-10","3.8",",,W","5.6",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"13.9",",,W","6.7",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-11","3.1",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"8.3",",,W","5.0",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-12","3.1",",,W","2.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"10.0",",,W","4.4",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-13","4.3",",,W","20.6",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"15.6",",,W","1.7",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-14","3.7",",,W","0.0","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"6.7",",,W","-3.2",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-15","2.3",",,W","1.0",",,W,2400","10.0",",,W,2400","0.0",",,W,2400",,,"-1.6",",,W","-4.9",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-16","4.1",",,W","7.1",",,W,2400","33.0",",,W,2400","30.0",",,W,2400",,,"0.0",",,W","-5.5",",,W","    1",",,W",,,,,"    1",",,W","    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-17","3.7",",,W","0.0",",,W,2400","0.0",",,W,2400","30.0",",,W,2400",,,"-4.3",",,W","-8.2",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-18","2.7",",,W","0.0","T,,W,2400","0.0","T,,W,2400","30.0",",,W,2400",,,"1.1",",,W","-5.5",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-19","3.3",",,W","1.0",",,W,2400","10.0",",,W,2400","30.0",",,W,2400",,,"0.0",",,W","-3.2",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-20","4.8",",,W","0.0",",,W,2400","0.0",",,W,2400","30.0",",,W,2400",,,"-3.2",",,W","-7.7",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-21","4.1",",,W","0.0",",,W,2400","0.0",",,W,2400","30.0",",,W,2400",,,"-0.5",",,W","-6.6",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-22","3.2",",,W","0.0",",,W,2400","0.0",",,W,2400","30.0",",,W,2400",,,"3.3",",,W","-3.8",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-23","2.2",",,W","1.3",",,W,2400","0.0",",,W,2400","30.0",",,W,2400",,,"4.4",",,W","1.1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-24",,,"1.3",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"8.9",",,W","3.3",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-25","1.9",",,W","6.1",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"15.0",",,W","7.8",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-26","2.5",",,W","4.8",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"7.8",",,W","5.6",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-27",,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"9.4",",,W","6.1",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-28","4.2",",,W","20.8",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"6.7",",,W","2.8",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-29","3.4",",,W","1.3",",,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"4.4",",,W","2.2",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-30","2.1",",,W","0.0","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"3.3",",,W","1.7",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-01-31","1.6",",,W","0.0","T,,W,2400","0.0","T,,W,2400","0.0",",,W,2400",,,"4.4",",,W","1.1",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-01","1.7",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"7.8",",,W","2.8",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-02","2.6",",,W","8.1",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"7.8",",,W","3.3",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-03","3.7",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"6.1",",,W","0.0",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-04","2.3",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"7.8",",,W","-0.5",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-05","3.3",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"7.2",",,W","0.0",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-06","3.0",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"5.6",",,W","-1.6",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-07","1.9",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"8.9",",,W","0.6",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-08","1.4",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"11.7",",,W","2.8",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-09","1.9",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"12.8",",,W","6.1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-10","1.4",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"15.6",",,W","8.3",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-11","2.6",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"13.3",",,W","6.1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-12","1.9",",,W","0.0","T,,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"8.9",",,W","2.8",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-13","3.8",",,W","19.6",",,W,2400","81.0",",,W,2400","30.0",",,W,2400",,,"5.0",",,W","0.6",",,W","    1",",,W","    1",",,W",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-14","5.1",",,W","0.0","T,,W,2400","0.0","T,,W,2400","50.0",",,W,2400",,,"3.3",",,W","-1.6",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-15","2.7",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0","T,,W,2400",,,"3.9",",,W","-2.7",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-16","3.7",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"6.1",",,W","2.2",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-17","3.4",",,W","4.6",",,W,2400","51.0",",,W,2400","50.0",",,W,2400",,,"2.2",",,W","-2.7",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-18","3.2",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0","T,,W,2400",,,"4.4",",,W","-3.2",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-19","2.2",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"5.0",",,W","-0.5",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-20","2.4",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"4.4",",,W","-3.2",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-21","2.1",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"6.1",",,W","-1.0",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-22","1.7",",,W","1.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"7.2",",,W","1.7",",,W","    1",",,W",,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-23","1.3",",,W","1.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"8.3",",,W","5.6",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-24","2.9",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"6.7",",,W","-2.1",",,W",,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2024-02-25","1.9",",,W","0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"5.0",",,W","-4.9",",,W",,,,,,,,,,
